"Kod";"Nazwa";"z pozarolniczego systemu ubezpieczeń społecznych razem;2002;[zł]";"z pozarolniczego systemu ubezpieczeń społecznych razem;2003;[zł]";"z pozarolniczego systemu ubezpieczeń społecznych razem;2004;[zł]";"z pozarolniczego systemu ubezpieczeń społecznych razem;2005;[zł]";"z pozarolniczego systemu ubezpieczeń społecznych razem;2006;[zł]";"z pozarolniczego systemu ubezpieczeń społecznych razem;2007;[zł]";"z pozarolniczego systemu ubezpieczeń społecznych razem;2008;[zł]";"z pozarolniczego systemu ubezpieczeń społecznych razem;2009;[zł]";"z pozarolniczego systemu ubezpieczeń społecznych razem;2010;[zł]";"z pozarolniczego systemu ubezpieczeń społecznych razem;2011;[zł]";"z pozarolniczego systemu ubezpieczeń społecznych razem;2012;[zł]";"z pozarolniczego systemu ubezpieczeń społecznych razem;2013;[zł]";"z pozarolniczego systemu ubezpieczeń społecznych razem;2014;[zł]";"z pozarolniczego systemu ubezpieczeń społecznych razem;2015;[zł]";"z pozarolniczego systemu ubezpieczeń społecznych razem;2016;[zł]";"z pozarolniczego systemu ubezpieczeń społecznych razem;2017;[zł]";"z pozarolniczego systemu ubezpieczeń społecznych razem;2018;[zł]";"z pozarolniczego systemu ubezpieczeń społecznych razem;2019;[zł]";"z pozarolniczego systemu ubezpieczeń społecznych razem;2020;[zł]";"z pozarolniczego systemu ubezpieczeń społecznych razem;2021;[zł]";"z pozarolniczego systemu ubezpieczeń społecznych razem;2022;[zł]";
0000000;"POLSKA";1039,34;1092,43;1140,94;1170,74;1260,84;1298,83;1418,65;1542,63;1642,90;1727,25;1820,99;1921,25;1991,14;2049,26;2086,35;2138,03;2221,90;2327,07;2455,07;2623,26;2869,65;
0200000;"DOLNOŚLĄSKIE";1020,61;1074,10;1119,66;1149,08;1237,77;1273,74;1394,21;1514,56;1611,66;1691,11;1782,76;1877,72;1944,03;2002,89;2041,56;2100,05;2188,10;2292,13;2422,05;2593,47;2838,88;
0400000;"KUJAWSKO-POMORSKIE";921,00;967,48;1009,41;1036,09;1115,52;1149,10;1260,89;1369,48;1461,65;1534,96;1622,92;1709,33;1767,97;1826,08;1860,33;1911,46;2000,37;2098,49;2219,07;2373,17;2597,62;
0600000;"LUBELSKIE";867,04;916,43;961,92;988,02;1063,28;1100,96;1204,43;1316,63;1404,45;1474,64;1562,15;1653,80;1719,53;1776,99;1812,13;1870,57;1953,74;2049,58;2170,28;2321,29;2533,54;
0800000;"LUBUSKIE";893,00;939,93;981,60;1009,25;1090,54;1124,39;1240,23;1358,64;1447,41;1515,86;1604,08;1690,11;1749,68;1810,13;1845,46;1905,03;1998,41;2098,93;2224,21;2384,65;2616,25;
1000000;"ŁÓDZKIE";932,27;979,91;1021,02;1049,42;1133,48;1166,95;1278,81;1392,39;1481,17;1554,27;1642,49;1730,12;1789,61;1843,94;1876,11;1927,25;2014,36;2112,11;2232,68;2394,12;2616,88;
1200000;"MAŁOPOLSKIE";966,00;1017,17;1063,63;1093,97;1176,56;1213,07;1326,26;1448,50;1543,10;1622,90;1715,35;1812,30;1883,10;1938,81;1975,40;2029,96;2122,42;2224,97;2351,94;2509,36;2736,32;
1400000;"MAZOWIECKIE";1010,00;1064,58;1112,88;1146,98;1240,10;1280,04;1402,72;1533,58;1637,58;1719,97;1813,14;1915,22;1991,73;2047,16;2085,81;2141,25;2239,18;2349,78;2487,78;2664,09;2922,54;
1600000;"OPOLSKIE";978,00;1026,03;1069,33;1097,91;1182,57;1220,34;1344,35;1463,51;1560,14;1640,76;1729,76;1827,00;1887,91;1948,36;1985,35;2014,89;2109,41;2228,55;2354,95;2520,79;2754,55;
1800000;"PODKARPACKIE";851,00;890,58;928,85;955,13;1028,42;1060,11;1166,82;1266,60;1351,01;1423,74;1514,64;1600,77;1660,43;1720,93;1755,86;1811,81;1899,49;1997,28;2120,64;2269,05;2479,68;
2000000;"PODLASKIE";905,70;952,16;996,23;1023,31;1099,84;1134,25;1243,44;1360,00;1441,83;1511,13;1594,42;1682,71;1743,70;1798,48;1831,95;1890,15;1969,40;2061,36;2178,78;2330,91;2545,47;
2200000;"POMORSKIE";1000,00;1050,00;1093,59;1123,46;1210,28;1245,63;1364,96;1480,70;1580,15;1660,58;1746,98;1840,80;1900,33;1955,84;1991,44;2043,95;2133,79;2236,73;2364,06;2531,12;2771,37;
2400000;"ŚLĄSKIE";1278,00;1340,17;1393,39;1426,73;1534,59;1576,40;1722,98;1863,60;1978,16;2077,25;2173,90;2287,25;2365,90;2429,61;2477,08;2532,76;2622,91;2731,77;2864,70;3044,95;3298,25;
2600000;"ŚWIĘTOKRZYSKIE";895,00;939,82;980,95;1010,88;1085,24;1118,41;1225,89;1328,03;1416,62;1494,87;1583,00;1675,09;1732,48;1786,10;1818,86;1866,45;1943,25;2034,25;2152,28;2301,63;2510,86;
2800000;"WARMIŃSKO-MAZURSKIE";900,00;945,56;991,82;1019,16;1098,71;1131,01;1233,90;1339,93;1428,63;1501,12;1588,21;1669,55;1734,11;1789,53;1824,03;1880,42;1964,46;2062,43;2182,02;2337,06;2564,91;
3000000;"WIELKOPOLSKIE";941,00;989,21;1034,08;1064,24;1149,42;1184,59;1298,46;1418,10;1514,25;1591,83;1678,94;1770,68;1836,25;1897,51;1935,97;1991,99;2089,24;2193,73;2320,35;2483,11;2722,25;
3200000;"ZACHODNIOPOMORSKIE";966,00;1015,79;1060,50;1089,53;1172,20;1212,57;1323,76;1443,33;1536,89;1615,86;1707,94;1793,88;1856,22;1912,38;1945,96;1995,19;2080,59;2179,21;2301,75;2460,64;2695,83;
